Index,Organization Name,URL,Description
127,Club Sports,https://bu.campuslabs.com/engage/organization/clubsports,"All club sports are overseen and advised by program managers from the Department of Physical Education, Recreation & Dance. Use this link to learn more about the various club sports on campus http://www.bu.edu/fitrec/recreation/clubsims/club-sports/"
128,Coalition of International Students and Global Affairs (Graduate),https://bu.campuslabs.com/engage/organization/cisga,BUSL Coalition of International Students and Global Affairs (“CISGA”) is committed to providing community and support to BU Law students coming from different nations around the world or interested in pursuing a career abroad.
129,College Democrats,https://bu.campuslabs.com/engage/organization/college-democrats,BUCD seeks to inspire Democratic change by motivating young progressives to get involved. We meet weekly where we have everything from speakers to debates and political action. We are a community of Democrats working as a force for positive change.
130,Community Gardens at BU,https://bu.campuslabs.com/engage/organization/bugardens,Community group growing a local food system on campus
131,Community Service Center,https://bu.campuslabs.com/engage/organization/csc,"The Community Service Center (CSC) is Boston University’s welcoming space for service, leadership, education, and reflection."
132,Computer Science Club,https://bu.campuslabs.com/engage/organization/cscic,"BU CSC aims to help computer science students prepare for their careers by providing a supportive environment, resume workshops, as well as technical and behavioral interview help. In order to strive through the difficulties of the modern tech world."
133,Conscious Educators of Color,https://bu.campuslabs.com/engage/organization/cec,"The Conscious Educators of Color Club (C.E.C.) is dedicated to creating a welcoming and inclusive environment for Black and Brown educators to grow, have fun, and foster strong connections while advocating for justice-based education."
134,Consulting Group,https://bu.campuslabs.com/engage/organization/consulting-group,Boston University Consulting Group is a collaborative organization that focuses on career development in the field of consulting for students of all academic backgrounds. We prepare students for a career in consulting through comprehensive training.
135,Cru,https://bu.campuslabs.com/engage/organization/cru,Welcome to Cru! Cru at BU is a local chapter of the national movement of Cru. We are a community for students from all backgrounds who desire to grow and experience the love of Jesus together. We have large group and discipleship groups (G3's) weekly.
136,Cybersecurity Association,https://bu.campuslabs.com/engage/organization/cybersecurity-assn,"Create future business leaders that understand the value of cybersecurity with the necessary skills to succeed in the field and raise awareness on the importance that cybersecurity leadership has on protecting organizations from cyber threats,"
137,Dance Team,https://bu.campuslabs.com/engage/organization/danceteam,Boston University Dance Team (“BUDT”)  is comprised of a group of talented and dedicated athletes.
138,Dance Theatre Group,https://bu.campuslabs.com/engage/organization/dance-theatre-group,"Dance Theatre Group, a Boston University student organization established in 1972, is dedicated to building a community that values dance as an art form. Each semester, DTG offers weekly master classes in a variety of genres taught by professionals."
139,Dancesport Club,https://bu.campuslabs.com/engage/organization/ballroom-dance,"The Boston University Dancesport Club aims to share its love of ballroom dancing with the student body through lessons, showcases, and competitions. Come check out BUDC if you want to learn more about ballroom dancing!"
140,Data Science Association,https://bu.campuslabs.com/engage/organization/statistics-club,BUDSA is committed to providing students with data science tools and resources they need to make an impact in the ever-changing world of big data.
141,Deaf Studies Club,https://bu.campuslabs.com/engage/organization/deaf-studies-club,"Aiming to raise awareness about Deaf Culture by providing students with access to education and opportunities within the Deaf Community. Our goal is to create a space for students to practice ASL, build community, and learn about Deaf Culture."
142,Debate Society,https://bu.campuslabs.com/engage/organization/debate-society,The Boston University Debate Society competes as part of the American Parliamentary Debate Association (APDA) and participates in both American Parliamentary and British Parliamentary debate.
143,Delta Delta Delta,https://bu.campuslabs.com/engage/organization/delta-delta-delta,"Delta Delta Delta was founded in 1888 at Boston University with the open motto, ""let us steadfastly love one another."" The Alpha Chapter at Boston University aims to uphold the sorority’s fundamental values of truth, self-sacrifice, and friendship."
144,Delta Gamma,https://bu.campuslabs.com/engage/organization/delta-gamma,"Delta Gamma at Boston University. For Hope, For Strength, For Life. Delta Gamma Fraternity was founded in 1873 at the Lewis School for Girls by three young women: Anna Boyd, Mary Comfort, and Eva Webb."
145,Delta Kappa Alpha,https://bu.campuslabs.com/engage/organization/delta-kappa-alpha,"Established March 16, 1936, Delta Kappa Alpha (DKA) is a National, Gender Inclusive, Professional Cinema Fraternity for cinematic arts students of character."
146,Delta Phi Epsilon International,https://bu.campuslabs.com/engage/organization/delta-phi-epsilon-international,Delta Phi Epsilon International is an almost century old International Business & Foreign Service Society founded in 1919 at Georgetown University. Boston University's organization was founded in 1922 through the School of Business Administration.
147,Delta Sigma Pi,https://bu.campuslabs.com/engage/organization/delta-sigma-pi,"Delta Sigma Pi was founded in 1907 and is America's foremost professional business fraternity. Since its founding, it has become the world's largest business fraternity with more than 230,000 members, and more than 200 active collegiate chapters and co..."
148,"Delta Sigma Theta Sorority, Inc.",https://bu.campuslabs.com/engage/organization/iotachapterdeltas,"Delta Sigma Theta Sorority, Incorporated is a private, not-for-profit organization whose purpose is to provide assistance and support through established programs in local communities throughout the world."
149,Delta Tau Delta,https://bu.campuslabs.com/engage/organization/delta-tau-delta,"Delta Tau Delta is a values-based organization. Our mission and values are offered to the public as a representation of the core values contained in our Ritual. All Delt men live by a common mission: ""Committed to Lives of Excellence."" All programs off..."
150,Dheem: Indian Classical Arts Association,https://bu.campuslabs.com/engage/organization/dheem-indian-classical-arts-association,"Dheem, Boston University's Classical Indian Arts Association, is dedicated to preserving classical dance and music forms at Boston University. Dheem acts as a forum for students who are interested in practicing and preserving these differently forms."
151,Diversity in Law Association,https://bu.campuslabs.com/engage/organization/diversity-in-law-association,"The BU Diversity in Law Association (DLA) strives to create a space where students, particularly minority students, can learn about how law can affect their lives and how they can contribute to society through a legal career. As members of this organiz..."
152,Eastern European Society,https://bu.campuslabs.com/engage/organization/eastern-european-society,EES has a mission to spread awareness and appreciation for Eastern European history and culture. We aim to form a large and engaged group of Eastern Europeans keen on learning about their national roots and taking action.
153,Edge Dance Company,https://bu.campuslabs.com/engage/organization/edge-dance-company,"The Edge Dance Company at Boston University was founded in 2001 and has been a leading jazz/lyrical group on campus. Edge is a group of technically trained dancers with roots in ""studio style"" dance and performance/competition experience."
154,Egyptian Club,https://bu.campuslabs.com/engage/organization/egyptian-club,"The Boston University Egyptian Club is an organization seeking to celebrate the Egyptian culture. It is open to all BU students and staff, regardless of their ethnicity, political affiliations, religion, and sexual orientation."
155,Elementary Education,https://bu.campuslabs.com/engage/organization/elementary-education,"We aim to serve as a resource and forum for all undergraduate students at Boston University interested in elementary education. Through community service, we contribute to the educational needs of children in the greater Boston community."
156,Emergency Medical Service Club,https://bu.campuslabs.com/engage/organization/emsclub,"We aim to bring together current and future students in EMS, or anyone else interested in emergency medicine. We aim to educate and inspire people about emergency medicine and life-saving techniques through collaborative events and regular meetings."
157,ENG Student Government,https://bu.campuslabs.com/engage/organization/eng-student-government,"ENG Student Government (ENGGOV) is aimed at fostering loyalty, promoting school and class interest, establishing unification among the various classes, and acting as a liaison between students and the administration."
158,Engineers Without Borders,https://bu.campuslabs.com/engage/organization/engineers-without-borders,"Established in 2005 at Boston University, Engineers Without Borders is a collegiate chapter directly affiliated with the national chapter of Engineers Without Borders USA.Today, we work all over the world with current engineering initiatives in Tinet, ..."
159,Entrepreneur's Club,https://bu.campuslabs.com/engage/organization/entrepreneurs-club,"BU Entrepreneurship Club is a place for all students of all backgrounds and all majors to become engaged with entrepreneurship. We focus on holding interesting events each semester that allow members or our club to meet fellow entrepreneurial students,."
160,Environmental Student Organization,https://bu.campuslabs.com/engage/organization/environmental-student-organization,The Environmental Student Organization (ESO) strives to raise awareness about environmental justice issues and climate mitigation to create beneficial environmental change on BU's campus and in the surrounding community of Boston.
161,Epsilon Eta,https://bu.campuslabs.com/engage/organization/epsilon-eta,"Epsilon Eta at Boston University is a multi-gender professional environmental fraternity that promotes a healthy and sustainable environment and connect students to industry, community service, and academia in pursuit of these goals."
162,Eritrean and Ethiopian Students Association,https://bu.campuslabs.com/engage/organization/eritrean-and-ethiopian-students-association,Promoting cultural awareness of the diverse ethnic backgrounds of Eritrea and Ethiopia while providing a welcoming space on campus for students descended from these countries. Check out our instagram and connect!
163,Etc. Choir,https://bu.campuslabs.com/engage/organization/etcchoir,"Etc. Choir is an inclusive, education-focused, member-centered choral ensemble that performs a wide range of music such as Western and Non-Western classical, musical theater, and popular styles of music in a choral setting."
164,Fabrio,https://bu.campuslabs.com/engage/organization/fabrio,"Formally known as Fabrio Magazine, the mission of Fabrio is to be a creative space for individuals to collaborate as a whole and work towards achieving their vision through a sustainable and ethical manner. We have expanded beyond simply a publication."
165,Fashion and Retail Association,https://bu.campuslabs.com/engage/organization/fashion-and-retail-association,"Fashion & Retail Association is a Boston University undergraduate organization, dedicated to connecting students to the competitive fashion and retail industry through all business functions, aspects of communication, and creative design."
166,Fatakada,https://bu.campuslabs.com/engage/organization/fatakada,"Our goal is to spread the awareness of Garba/Raas, a traditional culture rooted from South Asia, through various performances. We are proud to exhibit our culture, our creativity, and our hard work to both the BU community and Raas community nationally."
167,FeelGood World,https://bu.campuslabs.com/engage/organization/feelgood-world,"FeelGood BU is a club that raises money to end global hunger, one grilled cheese at a time. Every week at Bay State Underground, volunteers prepare and sell sandwiches to BU students, with proceeds donated to The Hunger Project. Join for volunteer hours!"
168,F,https://bu.campuslabs.com/engage/organization/fenwayhc,"Fenway Campus Hall Council
Fenway Campus Hall Council is meant to support and create community on the Fenway Campus"
169,Filipino Student Association,https://bu.campuslabs.com/engage/organization/filipino-student-association,"BUFSA is an organization which advocates and celebrates the richness of the Filipino heritage! Through community involvement and education, BUFSA aims to expand our club's core values to the rest of BU students, faculty, staff, and alumni..."
170,Film Society,https://bu.campuslabs.com/engage/organization/film-society,"BUFS is dedicated to bringing you the best movies that the world has to offer, whether it's a intense foreign drama or lighthearted comedy. With an emphasis on laid-back meetings, screenings, and discussion, BUFS is as much a social club as it is a mov..."
171,FilmBiz: Boston University’s Entertainment Business Club,https://bu.campuslabs.com/engage/organization/filmbiz,"FilmBiz is Boston University’s first student organization dedicated to students interested in careers within the business and management areas of the entertainment industry (film, television, theater, music, etc)."
172,Finance and Investment Club,https://bu.campuslabs.com/engage/organization/finance-and-investment-club,The BU Finance and Investment Club offers all students at Boston University an insight into the world of finance and an opportunity to learn by practical experience. The Club hosts interactive tutorials that explore topics to an extent above and beyond...
173,Financial Modeling Club,https://bu.campuslabs.com/engage/organization/financial-modeling-club,Boston University Financial Modeling Club is designed to bridge the gap between the formal education at Boston University and the technical requirements of the finance industry. We aim to assist and mentor our members into thinking analytically about c..
174,Financial Technology Group,https://bu.campuslabs.com/engage/organization/financial-technology-group,FINTECH BU aims to introduce the Boston University community to the new and exciting field of financial technology and provide resources and opportunities for natural disruptors from all backgrounds.
175,First Generation and/or Low Income Partnership,https://bu.campuslabs.com/engage/organization/flipbostonu,"FLIP @ BostonU is a student-led organization that aims to support first-generation and low-income (FGLI) students at BU. With the Newbury Center and FLIP National, we combat issues such as lack￼ of resources within BU while creating an FGLI community."
176,First Generation Professionals (Graduate),https://bu.campuslabs.com/engage/organization/first-generation-professionals-graduate,Boston University School of Law’s First Generation Professionals (FGP) is dedicated to serving students who identify as first generation professionals. First generation professionals are those who are the first in their family to graduate from...
177,Flag Football Club,https://bu.campuslabs.com/engage/organization/na,A organization in which members of the BU community can meet to play flag football and learn new skills.
178,FORGE Design Studios,https://bu.campuslabs.com/engage/organization/forgedesignstudios,"FORGE Design Studios strives to prepare students for the growing and innovative field of design through workshops, professional development events, community outreach, and more. We aim to serve as a welcoming on-campus design resource and community."
179,Forté,https://bu.campuslabs.com/engage/organization/forte,"BU Forté, formerly known as the BU Sweethearts, is a tight-knit group that sings and speaks up for what they believe in. Forté strives to create a fun and inclusive music space for all women, non-binary, genderqueer and gender non-conforming people."
180,French Club,https://bu.campuslabs.com/engage/organization/french-club,"The Organization aims firstly, to warmly welcome the French speaking community at Boston University, regardless of their level of fluency, to Boston and to the University and to facilitate their integration and provide them with support. Secondly, the ..."
181,Fusion,https://bu.campuslabs.com/engage/organization/fusion,"Established in 1993, Fusion is Boston University's leading on-campus hip-hop dance troupe. Comprised of many talented individuals, Fusion acts as a source of creative expression and learning through dance. We inspire audiences by maintaining a standard."
182,G-Power,https://bu.campuslabs.com/engage/organization/g-power,"G-Power(GP) is a female dance group. There isn't a specific genre GP focuses on, instead, GP is willing to try various type of dance and infuse them together to create something new, something we feel and what we want to present to all the audience."
183,Gaming Club,https://bu.campuslabs.com/engage/organization/gaming-club,"BU Gaming Club is all about casual and competitive gaming. We welcome all types of gamers, whether you play one hour a week or twenty. We host a variety of fun events, lots of competitive E-Sports teams (we would love to have you at tryouts!, and more!"
184,Gamma Phi Beta,https://bu.campuslabs.com/engage/organization/gamma-phi-beta,The Gamma Phi Beta sorority's mission is to promote the highest type of womanhood and build confident women of character. The Delta chapter at Boston University has over 140 members from all over the world. We seek to promote the highest type of womanh...
185,Garage Bands,https://bu.campuslabs.com/engage/organization/x,"BU Garage Bands seeks to foster a music community here at BU. Members will have the opportunity to audition for a band, attend jam sessions, and attend other music-related events with other musicians with the intention of spreading the joy of music."
186,Generational Black American Student Organization,https://bu.campuslabs.com/engage/organization/soulaan,"SoulAAn is committed to advancing the cultural enrichment, academic excellence, and social empowerment of Generational Black American students(GBA) on campus. We aim to celebrate our culture by hosting events, workshops, and cultural celebrations."
187,Geological Society,https://bu.campuslabs.com/engage/organization/bugs,Boston University Geological Society (BUGS) is a student-led group of geology and outdoor enthusiasts. BUGS aims to give members an appreciation for the earth and environment while encouraging them to live sustainably.
188,German Culture Club,https://bu.campuslabs.com/engage/organization/german-culture-club,"The German Culture Club is a Boston University organization open to everyone, created to help all participating individuals learn about what it means to be German both here in Boston and elsewhere."
189,Ghanaian Student Organization,https://bu.campuslabs.com/engage/organization/gso,The Ghanaian Student Organization aims to build a strong sense of community between BU students of Ghanaian descent. Our community will be strengthened through events based on Ghanaian culture and collaboration with relevant African organizations.
190,Girl Gains Boston University,https://bu.campuslabs.com/engage/organization/girlgainsbu,"Our mission is to promote female weightlifting while empowering women to feel strong and beautiful in a judgment-free community. Whether you're a dedicated gym-goer or a curious beginner, Girl Gains is here to support you in every stage of your fitness."
191,Girls Inc,https://bu.campuslabs.com/engage/organization/swsg,"Girls Inc is an organization dedicated to empowering young girls and championing women's potentials and aspirations, to pursue broader futures through the mentorship of college-aged women."
192,Girls Who Code,https://bu.campuslabs.com/engage/organization/bugwcchapter,"Girls Who Code Boston University is a student group that aligns with the efforts of the Girls Who Code organization, to close the gender gap in tech. We aim to do this by empowering our community with skill-building and networking events."
193,Global China Connection,https://bu.campuslabs.com/engage/organization/global-china-connection,Boston University Global China Connection dedicates to create a career development platform and a professional networking environment for BU students through hosting career skill training sessions and professional summits/panels with corporations.
194,Global Engineering Brigade,https://bu.campuslabs.com/engage/organization/global-engineering-brigade,Global Brigades is an international nonprofit that empowers communities around the world to meet their health and economic goals through university volunteers.
195,Global Medical Brigades,https://bu.campuslabs.com/engage/organization/global-medical-brigades,"Global Medical Brigades is a secular, international, student-operated volunteer organization whose mission is to provide sustained health care to underserved communities throughout the world. GMB is a part of the larger organization Global Brigades."
196,Graduate Chinese Students and Scholars Association - 47600,https://bu.campuslabs.com/engage/organization/bucssa,BU Chinese Student Scholar Association (CSSA) was founded in 1994. It is a nonprofit organization of Chinese students and scholars who are currently studying or working at Boston University.
197,Graphic Medicine Club,https://bu.campuslabs.com/engage/organization/graphicmedicine,Discover the healing power of art in healthcare and medicine. BU’s Graphic Medicine Club welcomes students interested in healthcare and medical professions to explore visual storytelling and empathy in medicine. Join us!
198,GroupIRean: Korean Diplomatic and Political Association,https://bu.campuslabs.com/engage/organization/groupirean,"In 2010, the founder of GroupIRean came together to provide a venue for Koreans, Korean Americans and non-Korean students of Boston University to explore international relations, social and political affairs of the relatively under-studied region, the ..."
199,Guerrilla Marketing Society,https://bu.campuslabs.com/engage/organization/guerrilla-marketing-society,"Guerrilla Marketing Society (GMS) provides marketing consulting services to local businesses by offering them a marketing campaign plan for their business specifically using guerrilla marketing tactics. Our past partnerships include Expedia, Lady M, th..."
200,Hack4Impact,https://bu.campuslabs.com/engage/organization/hack4impact,"Background: Hack4Impact is a 501(c)(3) nonprofit organization that was founded by University of Pennsylvania.Hack4Impact has many chapters at other universities, including Columbia University, Georgia Tech, and Boston University. The mission of Hack4Im..."
201,HackHardware,https://bu.campuslabs.com/engage/organization/hackhardwarebu,"HackHardware is an organization that helps organize Hardware-focused hackathons and events for the Boston University community. We also host BU's first hardware-focused hackathon, open to all majors and all experiences!"
202,Half-Asian People's Association,https://bu.campuslabs.com/engage/organization/hapa,"The Half-Asian People’s Association, or HAPA, was created to form a community where students of mixed-race background can convene to form bonds with others who have shared similar experiences."
203,Hawaii Cultural Association,https://bu.campuslabs.com/engage/organization/hawaii-cultural-association,"The Hawaii Cultural Association seeks to promote awareness and understanding of the unique culture of Hawai'i to the Boston community. We also do whatever we can to help students far away from home adjust to life on the east coast. Our main goal, howev..."
204,Healing Hearts for Hope,https://bu.campuslabs.com/engage/organization/3hclub,Our purpose is to have a positive impact in the lives of individuals and families affected by cancer. We aim to do this by fostering togetherness in our community through supporting and spreading awareness of the reality of cancer.
205,Healthcare Improvement Inc,https://bu.campuslabs.com/engage/organization/healthcareimprovementinc,"This is an interdisciplinary student club that connects the seemingly at-conflict fields of medicine, law, economics, and public health. We will provide a forum for students to implement means of improving the national healthcare system and patient care."
206,Hearts for the Homeless Boston,https://bu.campuslabs.com/engage/organization/hearts-4-the-homeless-boston-university,Hearts for the Homeless is an organization that provides free and informative blood pressure screenings and heart health education events to people experiencing homelessness in the Greater Boston Area.
207,Hellenic Association,https://bu.campuslabs.com/engage/organization/hellenic-association,"The BUHA goal is to enlighten the Boston University campus and the greater Boston area with the language, art, culture, history, politics, beauty, and majesty of modern and classical Hellenism. We welcome and counsel all new hellenic students!"
208,Helping Hands for the Homeless,https://bu.campuslabs.com/engage/organization/helping-hands-for-the-homeless,Helping Hands for the Homeless aims to spread awareness about homelessness in Boston and provide necessary resources to the homeless in the Boston area. Members of this organization have volunteered at local shelters and soup kitchens across Boston.
209,Her Campus Boston University,https://bu.campuslabs.com/engage/organization/hercampusbu,"Her Campus is the number one media site in the United States for college women, by college women."
210,Her Financial Future,https://bu.campuslabs.com/engage/organization/herfinancialfuture,InvestHer is an organization dedicated to teaching women the importance of being financially literate and gaining financial independence. We hold weekly workshops on personal finance that teach young women.
211,herNetwork - Boston University Women in Business,https://bu.campuslabs.com/engage/organization/hernetwork-boston-university-women-in-business,"herNetwork is an educational and empowering community for all genders and majors. With our motto, Women Mean Business, we aim to build a strong network that invests in ourselves and in one another. Please join us for our weekly events and conference!"
212,High Performance Computing Club,https://bu.campuslabs.com/engage/organization/high-performance-computing-club,"BUHPC is a student group hosted under the College of Engineering, and is open to the entire BU community. The primary goal of the club is to enable students to learn about High Performance Computing and get hands on experience with computing clusters."
213,Hillel Students Organization,https://bu.campuslabs.com/engage/organization/hillel-students-organization,"Hillel, the center for Jewish life on campus, is the largest, most exciting, and most versatile organization at Boston University. Students work hard to build connections and strengthen relationships with other campus communities."
214,Himalayan Student Association,https://bu.campuslabs.com/engage/organization/bu-hsa,"The Himalayan Student Association is a student organization for students from the Himalayan region in Asia (Tibet, Nepal, Bhutan, and India) or other students who are interested in learning and immersing themselves in Himalayan culture."
215,Hindu Cultural Association,https://bu.campuslabs.com/engage/organization/buhca,"The BU Hindu Cultural Association mission is to foster an understanding of Hindu traditions, to address issues affecting Hindus, and to promote discourse between the BU Hindu community and others of all genders, races, and religions."
216,Hong Kong Student Association,https://bu.campuslabs.com/engage/organization/hong-kong-student-association,BU Hong Kong Student Association (BUHKSA) is a student-run organization dedicated to promoting greater Cantonese awareness and diversity on campus through collaborative events with other cultural groups on campus as well as BU alumni.
217,Hospitality Association at BU,https://bu.campuslabs.com/engage/organization/hospitality-association,"The goal of the organization is to introduce students to the hospitality industry through networking events, hotel and restaurant tours, and general meetings. The club aims to create a community within the School of Hospitality beyond the classroom."
218,Hospitality Real Estate Club,https://bu.campuslabs.com/engage/organization/hospitalityrealestateclub,"A club where members can gain a professional understanding of all facets in the Hospitality Real Estate sector, transforming their careers and building lifelong relationships with peers and industry leaders."
219,H,https://bu.campuslabs.com/engage/organization/htc,"Howard Thurman Center
Do you have the guts to challenge your own thinking? In a world of locked minds, can you open yours? Our mission is to connect through shared creative experiences, exchange ideas, and explore differences. Push Your Boundaries!"
220,"Humans United, Giving Support (HUGS)",https://bu.campuslabs.com/engage/organization/humans-united-giving-support-hugs,"BU's premiere hugging group! Our club seeks to inspire and unify the BU community through Free Hug Fridays, acts of kindness, and community service. To request to join our email list and get weekly updates, email hug@bu.edu or the primary contact."
221,IEEE Student Chapter/IEEE-HKN,https://bu.campuslabs.com/engage/organization/ieee-student-chapter-ieee-hkn,"IEEE is an open interdisciplinary community center around developing our technical skills and interpersonal relationships through workshops, social events and invited talks. The ECE inducts Juniors and Seniors each year into the honor society on merit."
222,In Achord,https://bu.campuslabs.com/engage/organization/buinachord,"Established in 1990, In Achord is Boston University's oldest (OG if you will) all-gender acappella group. The group is a semiannual host and competitor in the International Championship of Collegiate A Cappella (ICCA)."
223,India Club,https://bu.campuslabs.com/engage/organization/india-club,"In 1981, a group of Indians at BU came together with a vision: a student group at Boston University allowing people from all over the Boston area to meet and network. Over the course of the last 37 years the Boston University India Club has grown into ..."
224,Indonesian Student Association,https://bu.campuslabs.com/engage/organization/indonesian-student-association,"We are a student-run organization, aiming to strengthen bonds between Indonesian students, and to share our culture with the Boston community."
225,INK Illustration Club,https://bu.campuslabs.com/engage/organization/ink,"Are you interested in art, webtoons, writing, storyboarding, animating, or character design? Join INK!! We are a creative club and community of artists and writers from all backgrounds and mediums. We host workshops and events open to everyone!"
226,Inner Strength Gospel Choir,https://bu.campuslabs.com/engage/organization/inner-strength-gospel-choir,"Boston University’s Inner Strength Gospel Choir (ISGC) is an award-winning, non-denominational, student-run organization devoted to glorifying God through song and praise."
227,Inter Fraternity Council,https://bu.campuslabs.com/engage/organization/inter-fraternity-council,"The InterFraternity Council (IFC) represents all recognized fraternities as a general assembly comprised of an elected board, chapter presidents, and chapter delegates. Our primary goals are the advancement, safety, and security of each fraternity."
228,International Adoptee Club,https://bu.campuslabs.com/engage/organization/internationaladoptionclub,"The International Adoptee Club is a community group for adoptees and those interested in learning about the adoptee community. This community aims to provide members with a safe space to network, grow, and develop personally."
229,International Affairs Association,https://bu.campuslabs.com/engage/organization/international-affairs-association,"The BU International Affairs Association is an academic & professional society that brings a global perspective to the social sciences. We host 5 branches: an international affairs journal, a top-ranked MUN team, two MUN conferences, and a service group."
230,Islamic Society,https://bu.campuslabs.com/engage/organization/islamic-society,"ISBU strives to aid our members in practicing and becoming educated about their faith, to establish a unifying sense of community and to spread the correct understanding of Islam among students, staff and the greater community, all with the ultimate go..."
231,It's On Us,https://bu.campuslabs.com/engage/organization/itsonus,"The purpose of this organization is to combat sexual violence and harassment, especially sexual assault, within the BU community. It aims to change campus culture and engage a variety of students on various issues."
232,Italian Language Learners Club,https://bu.campuslabs.com/engage/organization/illclub,The Italian Language Learners Club aims to create a community of like-minded students in the process of learning the Italian language. The club will provide resources and community to help immerse these students in the Italian language and culture.
233,Italian Students Association,https://bu.campuslabs.com/engage/organization/italian-students-association,"The aim of the Italian Students Association, with the mottto ""Be Italian, BU"", is to foster a strong sense of community between Italians at BU and those members of BU interested in Italian culture. We provide resources through organized events, talks, ..."
234,Jains In Voice and Action,https://bu.campuslabs.com/engage/organization/jains-in-voice-and-action,"JIVA: Jains In Voice and Action is Boston University's Jain Student Initiative. JIVA aims to increase awareness about the Jain way of Life, promote Jain ideals among the student body, and foster friendships among Jain students."
235,Jalwa,https://bu.campuslabs.com/engage/organization/jalwa,"Constantly integrating traditional and modern styles of dance from the East and the West, Jalwa pushes limits with its choreography and fusion elements. Jalwa, or ""passion"" in Hindi, is what unites this team - a passion to dance, perform, and excite!"
236,Japanese Student Association,https://bu.campuslabs.com/engage/organization/japanese-student-association,BU Japanese Student Association is a student-run organization dedicated to promoting greater Japanese awareness and diversity on campus through general meetings and collaborative events with other cultural groups and other intercollegiate JSAs.
237,Jewish on Campus at Boston University,https://bu.campuslabs.com/engage/organization/jewishoncampus,"Jewish on Campus is a student-led organization dedicated to empowering Jewish students through social media campaigning, education, and grassroots organizing. We strive to provide Jewish students with a voice and resources to combat antisemitism."
238,"Kappa Alpha Psi Fraternity, Inc",https://bu.campuslabs.com/engage/organization/kappaalphapsi,"Kappa Alpha Psi Fraternity, Inc. is a historical Black Greek-letter fraternity founded on the campus of Indiana University, Bloomington, Indiana on January 5th 1911."
239,Kappa Alpha Theta,https://bu.campuslabs.com/engage/organization/kappa-alpha-theta,"Kappa Alpha Theta exists to nurture each member throughout her college and alumnae experience. Now, more than ever, the Eta Chi chapter at Boston University feels the importance of sisterhood along with our strong commitment to scholarship and service."
240,Kappa Delta,https://bu.campuslabs.com/engage/organization/kappa-delta,"The Eta Phi chapter of Kappa Delta came to BU in 2010. We are a diverse group of women with strong leadership skills and an enthusiastic presence on campus. Kappa Delta organizes and holds many philanthropy, sisterhood, and social events throughout the..."
241,Kappa Kappa Psi,https://bu.campuslabs.com/engage/organization/kappa-kappa-psi,The Theta Beta Chapter of Kappa Kappa Psi at Boston University is a service fraternity dedicated to the improvement of the Boston University Bands.
242,Kappa Sigma,https://bu.campuslabs.com/engage/organization/kappa-sigma,"The largest and most successful fraternity on campus, Kappa Sigma upholds centuries of tradition through the pillars of fellowship, leadership, scholarship, and service."
243,Kappa Theta Pi,https://bu.campuslabs.com/engage/organization/ktpbostonu,"Kappa Theta Pi is the nation's first technology-based professional fraternity, accepting students from all majors. KTP has five pillars: professional development, alumni connections, social growth, technological advancement, and academic support."
244,Khmer Student Association at Boston University,https://bu.campuslabs.com/engage/organization/khmer-student-association,"The Khmer Student Association at Boston University fosters a community of Khmer students, offers a space to explore Khmer culture, and helps Khmer Americans reconnect with their roots. Open to all BU students interested in Khmer culture."
245,Kidney Disease Screening and Awareness Program,https://bu.campuslabs.com/engage/organization/kidney-disease-screening-and-awareness-program,The Kidney Disease Screening and Awareness Program (KDSAP) is a student-run organization that provides free kidney health screenings and health education to underserved communities in Boston and in the Greater Boston Area. We provide programs geared to...
246,Knitting Club,https://bu.campuslabs.com/engage/organization/knitting-club,"This club is for those interested in the fiber arts particularly knitting and crochet. BU Knitting club meets every Thursday from 7-8:30 pm in the GSU! Whether you knit or crochet, are a newbie or expert, feel free to stop by!"
247,Korean Graduate Student Association,https://bu.campuslabs.com/engage/organization/kgsa,"The Boston University Korean Graduate Student Association (BU KGSA) supports and unites Korean graduate students through cultural, academic, and social events. We enrich campus diversity, promote academic collaboration, and provide a platform for persona"
248,Korean Student Association,https://bu.campuslabs.com/engage/organization/korean-student-association,"The Boston University Korean Student Association (buKSA) is an evolving yet dedicated student organization devoted to serving and educating the community of the Korean American heritage through cultural, informative, and social events. buKSA also striv..."
249,La Casa Peruana,https://bu.campuslabs.com/engage/organization/lacasaperuana,"La Casa Peruana is BU’s home for Peruvian students and those interested in our culture! Whether you’re a fellow Peruvian feeling homesick, or someone interested in learning more about our country, La Casa Peruana is open to everyone in the BU community."
250,Lambda Chi Alpha,https://bu.campuslabs.com/engage/organization/lambda-chi-alpha,"Lambda Chi Alpha was founded here at Boston University by a law student named Warren A. Cole. We are the Alpha Chapter. As a fraternity we seek to offer the best fraternal experience, focusing on personal character development through leadership, schol..."
251,Latin American Student Association at Boston University,https://bu.campuslabs.com/engage/organization/bulatam,"LATAM is a welcoming space for people from all around Latin America. Our goal is to create a sense of community within BU, where Latin students can meet build friendships and network for future needs. We will debate, fundraise, and raise awareness."
252,Lebanese Club,https://bu.campuslabs.com/engage/organization/lebanese-club,A non-religious and non-political organization that aims to share the Lebanese culture with the students at Boston University and larger Boston community through cultural events and gatherings. People of all nationalities are welcome to all our events.
